letter,x_box,y_box,width,height,onpix,x_bar,y_bar,x2bar,y2bar,xybar,x2ybr,xy2br,x_ege,xegvy,y_ege,yegvx,letter_encoded
R,2.0,3.0,3.0,2.0,2.0,6.0,8.0,4.0,5.0,7.0,5.0,7.0,2.0,7.0,3.0,8.0,17
R,4.0,9.0,6.0,6.0,6.0,7.0,8.0,5.0,5.0,7.0,5.0,7.0,3.0,7.0,5.0,9.0,17
D,6.0,9.0,8.0,7.0,5.0,10.0,6.0,3.0,9.0,11.0,4.0,7.0,4.0,6.0,4.0,9.0,3
X,6.0,10.0,9.0,8.0,4.0,8.0,7.0,1.0,9.0,10.0,5.0,8.0,3.0,8.0,4.0,8.0,23
L,3.0,4.0,3.0,6.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,7.0,0.0,8.0,0.0,8.0,11
C,4.0,6.0,5.0,6.0,5.0,7.0,8.0,5.0,4.0,6.0,7.0,11.0,6.0,9.0,9.0,11.0,2
C,4.0,9.0,5.0,7.0,3.0,6.0,8.0,6.0,8.0,7.0,6.0,14.0,1.0,8.0,4.0,9.0,2
F,4.0,7.0,6.0,5.0,3.0,8.0,9.0,3.0,6.0,13.0,6.0,5.0,2.0,10.0,3.0,8.0,5
V,5.0,9.0,7.0,7.0,3.0,9.0,12.0,3.0,4.0,4.0,11.0,9.0,3.0,10.0,1.0,8.0,21
R,3.0,8.0,4.0,6.0,4.0,6.0,10.0,7.0,3.0,7.0,4.0,9.0,2.0,7.0,5.0,11.0,17
Z,9.0,13.0,9.0,7.0,5.0,6.0,8.0,2.0,10.0,12.0,8.0,8.0,4.0,4.0,8.0,4.0,25
C,4.0,9.0,5.0,7.0,3.0,4.0,8.0,6.0,7.0,7.0,8.0,15.0,1.0,8.0,4.0,10.0,2
I,2.0,6.0,3.0,4.0,1.0,6.0,8.0,1.0,8.0,14.0,7.0,8.0,0.0,8.0,1.0,7.0,8
O,2.0,7.0,3.0,5.0,2.0,7.0,7.0,9.0,6.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0,14
L,5.0,11.0,7.0,8.0,5.0,6.0,5.0,0.0,9.0,9.0,3.0,11.0,0.0,7.0,3.0,8.0,11
S,2.0,0.0,2.0,1.0,1.0,8.0,8.0,4.0,7.0,5.0,6.0,7.0,0.0,8.0,7.0,8.0,18
I,4.0,8.0,5.0,6.0,3.0,6.0,6.0,2.0,7.0,7.0,6.0,10.0,0.0,9.0,4.0,8.0,8
T,5.0,7.0,6.0,5.0,4.0,5.0,12.0,4.0,5.0,12.0,9.0,4.0,2.0,12.0,1.0,5.0,19
E,6.0,10.0,8.0,7.0,7.0,10.0,6.0,2.0,7.0,11.0,4.0,8.0,5.0,6.0,5.0,11.0,4
Y,3.0,4.0,5.0,5.0,1.0,8.0,10.0,3.0,2.0,6.0,13.0,8.0,2.0,11.0,0.0,8.0,24
Y,4.0,5.0,5.0,4.0,2.0,4.0,12.0,3.0,7.0,12.0,10.0,4.0,1.0,11.0,2.0,5.0,24
R,5.0,9.0,5.0,7.0,6.0,5.0,10.0,7.0,4.0,7.0,4.0,9.0,2.0,7.0,5.0,11.0,17
S,3.0,7.0,5.0,5.0,6.0,7.0,7.0,3.0,2.0,8.0,6.0,7.0,2.0,7.0,12.0,3.0,18
R,4.0,8.0,4.0,5.0,3.0,5.0,11.0,8.0,3.0,7.0,3.0,8.0,3.0,7.0,6.0,11.0,17
O,4.0,9.0,5.0,7.0,4.0,7.0,7.0,9.0,5.0,7.0,5.0,8.0,3.0,8.0,3.0,8.0,14
I,2.0,5.0,4.0,4.0,1.0,7.0,7.0,0.0,8.0,14.0,6.0,9.0,0.0,8.0,1.0,8.0,8
T,3.0,8.0,4.0,6.0,2.0,7.0,13.0,0.0,6.0,7.0,10.0,8.0,0.0,8.0,0.0,8.0,19
X,4.0,9.0,6.0,6.0,4.0,4.0,8.0,1.0,8.0,10.0,10.0,10.0,2.0,8.0,3.0,5.0,23
C,5.0,10.0,4.0,5.0,3.0,8.0,5.0,5.0,3.0,9.0,9.0,11.0,4.0,9.0,7.0,11.0,2
I,1.0,4.0,2.0,3.0,1.0,7.0,7.0,0.0,7.0,13.0,6.0,8.0,0.0,8.0,0.0,8.0,8
J,3.0,7.0,4.0,5.0,2.0,8.0,6.0,3.0,6.0,15.0,5.0,9.0,0.0,7.0,0.0,7.0,9
R,2.0,3.0,4.0,2.0,2.0,8.0,8.0,4.0,4.0,8.0,5.0,7.0,2.0,7.0,4.0,10.0,17
E,5.0,10.0,4.0,6.0,2.0,8.0,7.0,5.0,7.0,11.0,6.0,9.0,2.0,10.0,7.0,9.0,4
Q,5.0,9.0,5.0,5.0,3.0,9.0,4.0,4.0,7.0,10.0,4.0,9.0,3.0,8.0,8.0,11.0,16
X,3.0,4.0,4.0,3.0,2.0,7.0,7.0,3.0,9.0,6.0,6.0,8.0,3.0,8.0,6.0,8.0,23
O,4.0,8.0,5.0,6.0,4.0,7.0,7.0,8.0,4.0,7.0,6.0,8.0,3.0,8.0,3.0,8.0,14
Q,3.0,7.0,4.0,7.0,4.0,8.0,9.0,6.0,4.0,6.0,9.0,9.0,2.0,8.0,5.0,9.0,16
Y,2.0,3.0,3.0,1.0,1.0,4.0,12.0,3.0,5.0,12.0,10.0,5.0,1.0,11.0,1.0,5.0,24
Q,5.0,12.0,5.0,6.0,3.0,10.0,5.0,4.0,7.0,12.0,4.0,9.0,3.0,8.0,8.0,12.0,16
C,6.0,11.0,5.0,6.0,4.0,7.0,7.0,4.0,3.0,9.0,8.0,10.0,4.0,9.0,8.0,11.0,2
K,7.0,9.0,9.0,6.0,7.0,9.0,5.0,1.0,7.0,10.0,3.0,9.0,8.0,5.0,7.0,10.0,10
A,3.0,4.0,5.0,2.0,2.0,9.0,1.0,2.0,1.0,8.0,2.0,8.0,2.0,6.0,3.0,8.0,0
E,5.0,10.0,6.0,8.0,7.0,6.0,8.0,6.0,8.0,6.0,5.0,11.0,3.0,8.0,6.0,9.0,4
X,8.0,13.0,9.0,7.0,5.0,6.0,8.0,2.0,8.0,11.0,5.0,7.0,4.0,5.0,4.0,6.0,23
M,4.0,5.0,7.0,3.0,4.0,8.0,7.0,3.0,4.0,9.0,6.0,7.0,8.0,6.0,2.0,7.0,12
P,8.0,14.0,7.0,8.0,5.0,7.0,9.0,4.0,4.0,12.0,5.0,4.0,4.0,9.0,7.0,5.0,15
R,4.0,7.0,5.0,5.0,3.0,9.0,8.0,4.0,6.0,9.0,3.0,7.0,3.0,6.0,4.0,11.0,17
K,4.0,8.0,6.0,6.0,5.0,8.0,5.0,1.0,6.0,9.0,4.0,10.0,4.0,8.0,4.0,10.0,10
G,3.0,6.0,5.0,4.0,2.0,8.0,6.0,7.0,8.0,6.0,5.0,10.0,2.0,8.0,5.0,10.0,6
E,5.0,9.0,7.0,6.0,7.0,7.0,8.0,6.0,3.0,7.0,6.0,8.0,5.0,8.0,8.0,8.0,4
T,2.0,2.0,3.0,3.0,2.0,7.0,11.0,2.0,7.0,7.0,11.0,8.0,1.0,11.0,1.0,8.0,19
O,4.0,8.0,5.0,6.0,3.0,8.0,7.0,8.0,5.0,10.0,6.0,7.0,3.0,8.0,3.0,8.0,14
B,1.0,0.0,2.0,1.0,1.0,7.0,7.0,7.0,4.0,7.0,6.0,7.0,1.0,8.0,6.0,8.0,1
J,2.0,10.0,3.0,8.0,1.0,13.0,2.0,9.0,4.0,14.0,4.0,12.0,1.0,6.0,0.0,8.0,9
Z,4.0,5.0,5.0,7.0,2.0,7.0,7.0,4.0,15.0,9.0,6.0,8.0,0.0,8.0,8.0,8.0,25
F,4.0,7.0,4.0,5.0,1.0,1.0,14.0,5.0,3.0,12.0,9.0,5.0,0.0,8.0,2.0,6.0,5
V,6.0,11.0,8.0,8.0,5.0,6.0,11.0,3.0,2.0,7.0,11.0,8.0,4.0,10.0,5.0,9.0,21
H,3.0,4.0,4.0,3.0,3.0,7.0,7.0,6.0,6.0,7.0,6.0,8.0,3.0,8.0,3.0,8.0,7
Q,3.0,4.0,4.0,5.0,3.0,7.0,8.0,5.0,2.0,7.0,9.0,10.0,3.0,9.0,5.0,8.0,16
C,2.0,4.0,3.0,3.0,1.0,6.0,8.0,7.0,7.0,8.0,8.0,13.0,1.0,9.0,4.0,10.0,2
L,3.0,6.0,4.0,4.0,2.0,7.0,3.0,2.0,9.0,7.0,1.0,9.0,0.0,7.0,2.0,8.0,11
M,3.0,3.0,5.0,2.0,3.0,5.0,7.0,3.0,4.0,10.0,9.0,10.0,6.0,5.0,2.0,7.0,12
N,1.0,1.0,2.0,2.0,1.0,7.0,8.0,5.0,3.0,8.0,7.0,7.0,4.0,8.0,1.0,7.0,13
T,3.0,6.0,4.0,4.0,2.0,6.0,11.0,1.0,8.0,8.0,11.0,9.0,1.0,10.0,1.0,8.0,19
O,5.0,8.0,6.0,7.0,5.0,6.0,6.0,5.0,5.0,8.0,5.0,7.0,3.0,6.0,5.0,7.0,14
O,2.0,5.0,3.0,3.0,2.0,7.0,7.0,7.0,4.0,9.0,6.0,8.0,2.0,8.0,2.0,8.0,14
C,3.0,7.0,4.0,5.0,2.0,5.0,8.0,6.0,8.0,12.0,9.0,11.0,1.0,10.0,3.0,7.0,2
E,2.0,6.0,2.0,4.0,2.0,3.0,8.0,5.0,9.0,8.0,8.0,13.0,0.0,8.0,6.0,9.0,4
Q,4.0,7.0,6.0,9.0,6.0,9.0,7.0,7.0,2.0,5.0,7.0,10.0,3.0,8.0,6.0,10.0,16
T,3.0,9.0,4.0,6.0,1.0,7.0,15.0,0.0,6.0,7.0,11.0,8.0,0.0,8.0,0.0,8.0,19
Z,2.0,3.0,3.0,2.0,1.0,7.0,8.0,2.0,9.0,11.0,6.0,8.0,1.0,8.0,5.0,7.0,25
B,2.0,4.0,4.0,3.0,3.0,9.0,7.0,2.0,6.0,11.0,4.0,7.0,4.0,7.0,5.0,9.0,1
J,1.0,1.0,1.0,1.0,0.0,12.0,3.0,6.0,4.0,13.0,4.0,11.0,0.0,7.0,0.0,8.0,9
C,2.0,4.0,3.0,2.0,1.0,4.0,9.0,5.0,7.0,11.0,9.0,12.0,1.0,9.0,3.0,7.0,2
P,4.0,8.0,6.0,6.0,4.0,8.0,8.0,2.0,5.0,13.0,5.0,5.0,1.0,10.0,3.0,9.0,15
X,3.0,5.0,5.0,3.0,2.0,10.0,7.0,1.0,9.0,11.0,3.0,7.0,2.0,7.0,3.0,9.0,23
W,3.0,1.0,3.0,2.0,1.0,7.0,8.0,4.0,1.0,7.0,8.0,8.0,7.0,10.0,0.0,8.0,22
N,4.0,9.0,4.0,6.0,2.0,7.0,7.0,14.0,2.0,4.0,6.0,8.0,6.0,8.0,0.0,8.0,13
B,6.0,10.0,9.0,8.0,12.0,8.0,8.0,5.0,3.0,6.0,7.0,7.0,7.0,10.0,11.0,10.0,1
B,6.0,9.0,9.0,8.0,10.0,7.0,7.0,5.0,4.0,7.0,6.0,8.0,7.0,9.0,8.0,6.0,1
Z,3.0,6.0,5.0,4.0,3.0,8.0,7.0,2.0,9.0,11.0,6.0,8.0,2.0,8.0,5.0,8.0,25
M,6.0,9.0,9.0,8.0,11.0,7.0,7.0,4.0,3.0,6.0,6.0,8.0,10.0,9.0,5.0,5.0,12
H,2.0,6.0,3.0,4.0,2.0,7.0,6.0,12.0,2.0,7.0,8.0,8.0,3.0,9.0,0.0,8.0,7
B,1.0,0.0,1.0,1.0,1.0,7.0,7.0,7.0,4.0,6.0,6.0,7.0,1.0,8.0,6.0,9.0,1
U,6.0,10.0,9.0,8.0,6.0,7.0,8.0,4.0,8.0,4.0,7.0,9.0,6.0,9.0,1.0,8.0,20
I,0.0,3.0,1.0,1.0,0.0,7.0,7.0,1.0,6.0,13.0,6.0,8.0,0.0,8.0,0.0,7.0,8
Q,3.0,6.0,4.0,5.0,4.0,8.0,7.0,7.0,5.0,6.0,6.0,7.0,2.0,8.0,4.0,9.0,16
D,3.0,7.0,4.0,5.0,4.0,9.0,7.0,4.0,6.0,9.0,4.0,6.0,3.0,8.0,3.0,8.0,3
H,6.0,11.0,6.0,8.0,6.0,8.0,5.0,14.0,2.0,7.0,9.0,8.0,3.0,9.0,0.0,8.0,7
U,3.0,3.0,4.0,2.0,2.0,5.0,8.0,6.0,7.0,8.0,10.0,10.0,3.0,9.0,1.0,7.0,20
G,2.0,4.0,3.0,3.0,2.0,6.0,6.0,5.0,4.0,8.0,7.0,10.0,2.0,8.0,4.0,10.0,6
G,8.0,12.0,7.0,6.0,4.0,10.0,3.0,3.0,4.0,10.0,2.0,6.0,4.0,7.0,5.0,11.0,6
R,5.0,10.0,8.0,8.0,5.0,9.0,8.0,4.0,6.0,9.0,3.0,7.0,3.0,6.0,5.0,11.0,17
T,4.0,7.0,4.0,5.0,3.0,6.0,11.0,5.0,5.0,11.0,8.0,4.0,3.0,12.0,2.0,4.0,19
G,3.0,8.0,4.0,6.0,2.0,7.0,6.0,7.0,7.0,6.0,6.0,10.0,1.0,8.0,6.0,11.0,6
A,2.0,1.0,4.0,2.0,1.0,8.0,2.0,2.0,1.0,7.0,2.0,8.0,2.0,7.0,2.0,7.0,0
J,3.0,7.0,5.0,5.0,4.0,9.0,8.0,3.0,4.0,9.0,4.0,7.0,4.0,8.0,6.0,5.0,9
A,4.0,7.0,5.0,5.0,3.0,8.0,4.0,3.0,0.0,6.0,1.0,8.0,2.0,7.0,1.0,7.0,0
Q,4.0,7.0,5.0,5.0,5.0,8.0,7.0,7.0,4.0,6.0,8.0,8.0,4.0,5.0,6.0,9.0,16
H,4.0,7.0,6.0,5.0,5.0,6.0,6.0,7.0,4.0,6.0,5.0,8.0,3.0,7.0,6.0,10.0,7
U,2.0,3.0,3.0,1.0,1.0,5.0,8.0,4.0,6.0,10.0,8.0,8.0,3.0,10.0,1.0,6.0,20
W,5.0,10.0,7.0,7.0,4.0,6.0,8.0,5.0,2.0,7.0,8.0,8.0,9.0,9.0,0.0,8.0,22
Z,2.0,5.0,3.0,3.0,2.0,7.0,7.0,5.0,9.0,6.0,6.0,8.0,2.0,8.0,7.0,8.0,25
K,6.0,9.0,9.0,6.0,6.0,5.0,7.0,1.0,7.0,10.0,9.0,11.0,4.0,6.0,4.0,7.0,10
Y,7.0,11.0,7.0,8.0,4.0,3.0,10.0,2.0,7.0,10.0,12.0,6.0,2.0,11.0,3.0,5.0,24
F,2.0,7.0,2.0,4.0,1.0,1.0,12.0,4.0,5.0,12.0,11.0,8.0,0.0,8.0,2.0,6.0,5
X,4.0,9.0,7.0,7.0,3.0,7.0,7.0,1.0,8.0,10.0,6.0,8.0,3.0,8.0,4.0,7.0,23
K,3.0,6.0,4.0,4.0,5.0,7.0,8.0,3.0,4.0,6.0,6.0,8.0,7.0,8.0,6.0,8.0,10
P,3.0,8.0,5.0,6.0,3.0,4.0,12.0,4.0,6.0,11.0,9.0,3.0,0.0,9.0,4.0,6.0,15
N,3.0,5.0,6.0,3.0,2.0,6.0,9.0,3.0,5.0,10.0,7.0,7.0,5.0,8.0,1.0,8.0,13
C,3.0,8.0,4.0,6.0,2.0,5.0,8.0,7.0,7.0,7.0,8.0,14.0,1.0,9.0,4.0,10.0,2
W,6.0,11.0,9.0,8.0,4.0,11.0,7.0,5.0,2.0,6.0,9.0,8.0,9.0,9.0,0.0,8.0,22
M,6.0,7.0,9.0,5.0,6.0,8.0,6.0,2.0,5.0,9.0,6.0,7.0,8.0,6.0,2.0,7.0,12
T,5.0,10.0,6.0,8.0,5.0,4.0,12.0,5.0,5.0,12.0,9.0,4.0,2.0,12.0,1.0,5.0,19
H,4.0,7.0,5.0,5.0,4.0,9.0,7.0,7.0,6.0,7.0,6.0,5.0,3.0,8.0,3.0,5.0,7
L,3.0,8.0,4.0,6.0,3.0,5.0,4.0,2.0,9.0,3.0,2.0,7.0,3.0,7.0,2.0,5.0,11
Y,9.0,11.0,9.0,8.0,4.0,5.0,9.0,1.0,10.0,10.0,10.0,4.0,2.0,13.0,5.0,3.0,24
N,4.0,9.0,5.0,7.0,4.0,8.0,7.0,13.0,1.0,6.0,6.0,8.0,5.0,9.0,0.0,8.0,13
Z,4.0,7.0,6.0,5.0,3.0,7.0,8.0,2.0,9.0,11.0,6.0,8.0,1.0,9.0,6.0,8.0,25
H,3.0,7.0,4.0,5.0,4.0,8.0,7.0,6.0,6.0,7.0,6.0,7.0,3.0,8.0,3.0,7.0,7
O,4.0,9.0,3.0,5.0,2.0,6.0,7.0,6.0,3.0,10.0,6.0,9.0,5.0,9.0,5.0,7.0,14
P,3.0,8.0,3.0,6.0,3.0,3.0,12.0,6.0,1.0,11.0,7.0,4.0,0.0,9.0,3.0,8.0,15
T,6.0,10.0,8.0,8.0,7.0,6.0,7.0,7.0,7.0,7.0,9.0,9.0,4.0,10.0,6.0,8.0,19
D,6.0,10.0,9.0,8.0,8.0,8.0,8.0,5.0,6.0,10.0,5.0,5.0,4.0,8.0,5.0,10.0,3
K,2.0,1.0,2.0,1.0,0.0,5.0,7.0,8.0,1.0,7.0,6.0,11.0,3.0,8.0,2.0,11.0,10
U,2.0,1.0,3.0,1.0,1.0,7.0,8.0,6.0,6.0,7.0,9.0,8.0,3.0,10.0,1.0,8.0,20
N,5.0,6.0,7.0,4.0,3.0,9.0,7.0,3.0,5.0,10.0,3.0,5.0,5.0,9.0,1.0,7.0,13
D,6.0,11.0,6.0,6.0,4.0,10.0,6.0,3.0,6.0,9.0,4.0,7.0,5.0,10.0,6.0,8.0,3
B,4.0,4.0,5.0,6.0,4.0,6.0,7.0,9.0,7.0,7.0,6.0,7.0,2.0,8.0,9.0,9.0,1
P,5.0,10.0,7.0,7.0,4.0,7.0,11.0,4.0,5.0,13.0,5.0,3.0,1.0,10.0,3.0,8.0,15
L,4.0,8.0,5.0,6.0,6.0,8.0,8.0,3.0,5.0,6.0,7.0,9.0,6.0,11.0,6.0,6.0,11
L,2.0,3.0,3.0,5.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,7.0,0.0,8.0,0.0,8.0,11
L,1.0,3.0,2.0,1.0,1.0,6.0,5.0,1.0,7.0,8.0,3.0,10.0,0.0,7.0,2.0,8.0,11
V,7.0,13.0,7.0,7.0,4.0,8.0,9.0,4.0,4.0,8.0,8.0,5.0,6.0,14.0,2.0,8.0,21
L,1.0,4.0,2.0,2.0,1.0,7.0,4.0,1.0,7.0,8.0,2.0,10.0,0.0,7.0,2.0,8.0,11
P,5.0,6.0,6.0,8.0,7.0,6.0,9.0,3.0,2.0,8.0,8.0,6.0,5.0,10.0,5.0,5.0,15
J,6.0,8.0,4.0,11.0,3.0,9.0,7.0,3.0,3.0,12.0,3.0,5.0,3.0,8.0,6.0,10.0,9
R,5.0,5.0,5.0,7.0,3.0,5.0,11.0,9.0,4.0,7.0,3.0,9.0,3.0,7.0,6.0,11.0,17
W,6.0,8.0,6.0,6.0,5.0,6.0,10.0,4.0,3.0,9.0,7.0,6.0,7.0,12.0,3.0,6.0,22
Q,6.0,9.0,7.0,10.0,8.0,9.0,9.0,6.0,3.0,4.0,8.0,11.0,5.0,9.0,9.0,13.0,16
T,7.0,15.0,6.0,8.0,4.0,6.0,10.0,2.0,6.0,12.0,7.0,6.0,3.0,9.0,5.0,5.0,19
U,4.0,4.0,4.0,3.0,2.0,5.0,8.0,5.0,7.0,10.0,9.0,9.0,3.0,9.0,2.0,6.0,20
K,3.0,5.0,6.0,4.0,3.0,5.0,8.0,2.0,7.0,10.0,9.0,10.0,3.0,8.0,3.0,7.0,10
Y,1.0,0.0,2.0,0.0,0.0,7.0,10.0,3.0,1.0,7.0,12.0,8.0,1.0,11.0,0.0,8.0,24
T,5.0,6.0,6.0,5.0,6.0,7.0,9.0,5.0,8.0,7.0,7.0,8.0,3.0,10.0,7.0,7.0,19
B,5.0,11.0,8.0,9.0,9.0,8.0,6.0,5.0,6.0,9.0,5.0,7.0,3.0,8.0,6.0,10.0,1
D,9.0,15.0,9.0,8.0,5.0,8.0,6.0,5.0,7.0,12.0,3.0,7.0,6.0,7.0,6.0,10.0,3
S,2.0,7.0,3.0,5.0,2.0,8.0,8.0,7.0,6.0,8.0,6.0,8.0,2.0,8.0,9.0,8.0,18
L,2.0,7.0,2.0,5.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,7.0,0.0,8.0,0.0,8.0,11
W,1.0,0.0,2.0,0.0,0.0,8.0,8.0,3.0,0.0,6.0,8.0,8.0,5.0,9.0,0.0,8.0,22
G,3.0,4.0,4.0,6.0,2.0,7.0,7.0,8.0,7.0,6.0,6.0,9.0,2.0,7.0,6.0,10.0,6
P,8.0,15.0,8.0,9.0,5.0,8.0,9.0,4.0,4.0,12.0,5.0,3.0,5.0,10.0,6.0,6.0,15
M,5.0,6.0,8.0,4.0,4.0,7.0,6.0,2.0,5.0,9.0,7.0,8.0,8.0,5.0,2.0,8.0,12
O,5.0,8.0,6.0,6.0,4.0,8.0,9.0,8.0,4.0,7.0,7.0,8.0,3.0,8.0,3.0,8.0,14
H,4.0,7.0,6.0,5.0,8.0,8.0,7.0,4.0,3.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,7
O,2.0,4.0,3.0,3.0,2.0,7.0,7.0,6.0,3.0,9.0,6.0,8.0,2.0,8.0,2.0,8.0,14
H,3.0,2.0,4.0,3.0,3.0,8.0,7.0,5.0,6.0,7.0,6.0,8.0,6.0,8.0,4.0,7.0,7
I,0.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,0.0,8.0,0.0,8.0,8
L,4.0,10.0,5.0,8.0,3.0,3.0,5.0,1.0,9.0,6.0,1.0,11.0,0.0,7.0,3.0,6.0,11
S,5.0,11.0,5.0,6.0,3.0,6.0,8.0,4.0,3.0,13.0,8.0,8.0,3.0,10.0,3.0,8.0,18
D,3.0,5.0,5.0,3.0,3.0,9.0,6.0,4.0,6.0,10.0,4.0,6.0,2.0,8.0,3.0,8.0,3
X,6.0,12.0,6.0,6.0,4.0,7.0,8.0,2.0,7.0,11.0,7.0,7.0,4.0,12.0,3.0,7.0,23
L,3.0,8.0,4.0,6.0,1.0,0.0,1.0,6.0,6.0,0.0,0.0,6.0,0.0,8.0,0.0,8.0,11
D,2.0,1.0,3.0,1.0,2.0,6.0,7.0,6.0,6.0,7.0,6.0,5.0,2.0,8.0,2.0,7.0,3
Z,9.0,10.0,6.0,14.0,6.0,8.0,4.0,5.0,4.0,12.0,7.0,9.0,3.0,8.0,12.0,7.0,25
B,4.0,9.0,6.0,6.0,5.0,6.0,9.0,5.0,6.0,10.0,6.0,5.0,3.0,8.0,7.0,8.0,1
D,1.0,1.0,2.0,1.0,1.0,7.0,7.0,6.0,6.0,7.0,6.0,5.0,2.0,8.0,2.0,7.0,3
A,3.0,11.0,5.0,8.0,4.0,12.0,2.0,3.0,3.0,10.0,2.0,9.0,2.0,6.0,3.0,8.0,0
X,4.0,9.0,7.0,7.0,6.0,8.0,7.0,3.0,6.0,7.0,4.0,6.0,5.0,5.0,8.0,7.0,23
V,5.0,10.0,5.0,8.0,3.0,3.0,11.0,4.0,4.0,10.0,11.0,7.0,3.0,10.0,1.0,8.0,21
B,5.0,9.0,5.0,7.0,4.0,6.0,7.0,9.0,7.0,7.0,6.0,7.0,2.0,8.0,9.0,9.0,1
X,4.0,9.0,4.0,6.0,1.0,7.0,7.0,4.0,4.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0,23
M,4.0,4.0,7.0,3.0,4.0,6.0,6.0,3.0,4.0,10.0,9.0,10.0,7.0,6.0,2.0,8.0,12
O,4.0,3.0,5.0,4.0,2.0,7.0,7.0,8.0,8.0,7.0,6.0,8.0,3.0,8.0,4.0,8.0,14
L,1.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,4.0,1.0,2.0,6.0,0.0,8.0,0.0,8.0,11
K,4.0,8.0,6.0,6.0,5.0,3.0,8.0,2.0,6.0,10.0,10.0,11.0,3.0,8.0,3.0,6.0,10
T,6.0,11.0,6.0,8.0,5.0,4.0,13.0,6.0,4.0,12.0,9.0,4.0,2.0,12.0,1.0,5.0,19
M,3.0,6.0,4.0,4.0,4.0,8.0,5.0,10.0,0.0,6.0,8.0,8.0,6.0,5.0,0.0,7.0,12
H,3.0,5.0,6.0,4.0,3.0,9.0,7.0,3.0,6.0,10.0,3.0,7.0,5.0,7.0,4.0,9.0,7
Y,6.0,11.0,6.0,8.0,3.0,3.0,10.0,3.0,7.0,12.0,12.0,7.0,1.0,11.0,3.0,5.0,24
C,3.0,4.0,4.0,6.0,2.0,6.0,7.0,7.0,9.0,5.0,6.0,14.0,1.0,7.0,4.0,8.0,2
I,4.0,11.0,7.0,8.0,8.0,10.0,7.0,2.0,5.0,9.0,4.0,4.0,4.0,9.0,7.0,5.0,8
U,5.0,8.0,7.0,6.0,4.0,5.0,9.0,6.0,7.0,8.0,10.0,10.0,3.0,9.0,1.0,8.0,20
Z,3.0,9.0,5.0,7.0,5.0,8.0,8.0,3.0,7.0,8.0,7.0,7.0,1.0,9.0,10.0,9.0,25
S,6.0,9.0,6.0,5.0,3.0,9.0,5.0,4.0,4.0,13.0,6.0,9.0,3.0,10.0,3.0,8.0,18
N,5.0,8.0,8.0,6.0,3.0,11.0,6.0,3.0,5.0,10.0,1.0,4.0,5.0,9.0,1.0,7.0,13
B,5.0,6.0,7.0,5.0,7.0,8.0,6.0,5.0,4.0,7.0,6.0,8.0,7.0,9.0,8.0,4.0,1
F,4.0,7.0,6.0,5.0,2.0,7.0,10.0,2.0,7.0,14.0,5.0,4.0,1.0,10.0,2.0,8.0,5
X,4.0,10.0,7.0,7.0,4.0,7.0,8.0,4.0,9.0,6.0,5.0,5.0,4.0,10.0,8.0,6.0,23
C,1.0,3.0,2.0,2.0,1.0,6.0,8.0,4.0,6.0,11.0,8.0,12.0,1.0,10.0,3.0,8.0,2
B,4.0,9.0,6.0,7.0,7.0,8.0,7.0,6.0,6.0,7.0,6.0,6.0,2.0,8.0,6.0,10.0,1
J,2.0,9.0,3.0,7.0,1.0,13.0,3.0,8.0,5.0,14.0,2.0,11.0,0.0,6.0,0.0,8.0,9
C,4.0,7.0,5.0,5.0,2.0,5.0,7.0,6.0,7.0,11.0,9.0,13.0,2.0,9.0,4.0,7.0,2
M,4.0,9.0,5.0,6.0,5.0,8.0,6.0,11.0,1.0,7.0,8.0,8.0,7.0,5.0,0.0,8.0,12
O,5.0,11.0,7.0,8.0,3.0,8.0,8.0,8.0,8.0,6.0,7.0,9.0,3.0,8.0,4.0,8.0,14
W,5.0,5.0,8.0,8.0,4.0,5.0,8.0,5.0,2.0,7.0,8.0,8.0,9.0,9.0,0.0,8.0,22
T,3.0,9.0,4.0,6.0,1.0,7.0,14.0,0.0,6.0,7.0,11.0,8.0,0.0,8.0,0.0,8.0,19
A,3.0,6.0,5.0,4.0,2.0,8.0,4.0,3.0,0.0,7.0,1.0,8.0,2.0,7.0,1.0,8.0,0
W,5.0,11.0,8.0,8.0,13.0,8.0,5.0,6.0,3.0,7.0,6.0,8.0,14.0,10.0,4.0,9.0,22
B,3.0,3.0,3.0,5.0,3.0,6.0,6.0,9.0,6.0,6.0,6.0,7.0,2.0,8.0,9.0,10.0,1
U,6.0,10.0,6.0,6.0,4.0,8.0,6.0,5.0,5.0,6.0,7.0,7.0,5.0,8.0,3.0,7.0,20
A,3.0,4.0,5.0,5.0,1.0,8.0,6.0,3.0,1.0,7.0,0.0,8.0,2.0,7.0,1.0,8.0,0
F,4.0,7.0,7.0,5.0,6.0,7.0,9.0,1.0,5.0,10.0,6.0,6.0,5.0,10.0,4.0,5.0,5
L,3.0,3.0,3.0,5.0,1.0,0.0,1.0,6.0,6.0,0.0,1.0,6.0,0.0,8.0,0.0,8.0,11
